  Time                 , V(R1:1)              , V(U2:OUT)            
  9.000021868822e-01  ,5.000000000000e-01  ,2.066892139950e+00  
  9.000029534456e-01  ,5.000000000000e-01  ,2.602502999494e+00  
  9.000039857027e-01  ,5.000000000000e-01  ,3.105253397512e+00  
  9.000053141710e-01  ,5.000000000000e-01  ,3.446176722562e+00  
  9.000066805956e-01  ,5.000000000000e-01  ,3.606042649323e+00  
  9.000077643510e-01  ,5.000000000000e-01  ,3.671295690904e+00  
  9.000087617036e-01  ,5.000000000000e-01  ,3.702527687604e+00  
  9.000097594377e-01  ,5.000000000000e-01  ,3.716076755272e+00  
  9.000110072252e-01  ,5.000000000000e-01  ,3.724958422396e+00  
  9.000121785280e-01  ,5.000000000000e-01  ,3.728895709075e+00  
  9.000145211336e-01  ,5.000000000000e-01  ,3.731766187073e+00  
  9.000173787233e-01  ,5.000000000000e-01  ,3.731913421593e+00  
  9.000223408815e-01  ,5.000000000000e-01  ,3.730921707024e+00  
  9.000288266298e-01  ,5.000000000000e-01  ,3.729461193120e+00  
  9.000417981264e-01  ,5.000000000000e-01  ,3.726590419507e+00  
  9.000677411195e-01  ,5.000000000000e-01  ,3.720841571183e+00  
  9.001196271059e-01  ,5.000000000000e-01  ,3.709401522770e+00  
  9.002233990785e-01  ,5.000000000000e-01  ,3.686690245340e+00  
  9.004309430238e-01  ,5.000000000000e-01  ,3.641984977571e+00  
  9.008460309145e-01  ,5.000000000000e-01  ,3.555314757947e+00  
  9.016762066957e-01  ,5.000000000000e-01  ,3.392486904285e+00  
  9.033365582582e-01  ,5.000000000000e-01  ,3.104757068321e+00  
  9.066572613832e-01  ,5.000000000000e-01  ,2.653993557570e+00  
  9.132986676332e-01  ,5.000000000000e-01  ,2.095801274861e+00  
  9.251471051332e-01  ,5.000000000000e-01  ,1.650440797538e+00  
  9.371861676332e-01  ,5.000000000000e-01  ,1.602943822106e+00  
  9.536705426332e-01  ,5.000000000000e-01  ,1.611849861472e+00  
  9.710955426332e-01  ,5.000000000000e-01  ,1.661180018468e+00  
  1.005945542633e+00  ,5.000000000000e-01  ,1.748345851715e+00  
  1.045945542633e+00  ,5.000000000000e-01  ,1.847583205651e+00  
  1.085945542633e+00  ,5.000000000000e-01  ,1.947034747589e+00  
  1.125945542633e+00  ,5.000000000000e-01  ,2.046414847494e+00  
  1.165945542633e+00  ,5.000000000000e-01  ,2.145818741130e+00  
  1.200000000004e+00  ,4.998000044243e-01  ,2.229790474020e+00  
  1.200000001004e+00  ,4.498200065062e-01  ,2.229790476453e+00  
  1.200000003003e+00  ,3.498518394285e-01  ,2.229790481251e+00  
  1.200000007002e+00  ,1.499155052732e-01  ,2.229790491725e+00  
  1.200000010004e+00  ,0.000000000000e+00  ,2.229790501595e+00  
  1.200000010804e+00  ,0.000000000000e+00  ,2.229790505082e+00  
  1.200000012403e+00  ,0.000000000000e+00  ,2.229790513136e+00  
  1.200000015602e+00  ,0.000000000000e+00  ,2.229790538335e+00  
  1.200000022000e+00  ,0.000000000000e+00  ,2.229790655073e+00  
  1.200000034796e+00  ,0.000000000000e+00  ,2.229791370137e+00  
  1.200000060387e+00  ,0.000000000000e+00  ,2.229793891125e+00  
  1.200000111569e+00  ,0.000000000000e+00  ,2.229726791466e+00  
  1.200000198103e+00  ,0.000000000000e+00  ,2.228419867148e+00  
  1.200000341417e+00  ,0.000000000000e+00  ,2.216710380275e+00  
  1.200000628044e+00  ,0.000000000000e+00  ,2.130417593741e+00  
  1.200000905420e+00  ,0.000000000000e+00  ,1.963287114827e+00  
  1.200001366855e+00  ,0.000000000000e+00  ,1.583195746360e+00  
  1.200002105571e+00  ,0.000000000000e+00  ,9.453953729209e-01  
  1.200002795459e+00  ,0.000000000000e+00  ,4.460280634600e-01  
  1.200003766872e+00  ,0.000000000000e+00  ,-5.035323519433e-02  
  1.200004975559e+00  ,0.000000000000e+00  ,-4.240222205632e-01  
  1.200006648113e+00  ,0.000000000000e+00  ,-6.462930925403e-01  
  1.200007513095e+00  ,0.000000000000e+00  ,-7.000356259305e-01  
  1.200008333923e+00  ,0.000000000000e+00  ,-7.287817864560e-01  
  1.200009280158e+00  ,0.000000000000e+00  ,-7.451065431025e-01  
  1.200010407211e+00  ,0.000000000000e+00  ,-7.559216281528e-01  
  1.200011579658e+00  ,0.000000000000e+00  ,-7.615952762823e-01  
  1.200013924552e+00  ,0.000000000000e+00  ,-7.658678513146e-01  
  1.200016621925e+00  ,0.000000000000e+00  ,-7.663311858588e-01  
  1.200020957710e+00  ,0.000000000000e+00  ,-7.655432635595e-01  
  1.200026509620e+00  ,0.000000000000e+00  ,-7.642763590041e-01  
  1.200037613441e+00  ,0.000000000000e+00  ,-7.617901914045e-01  
  1.200059821082e+00  ,0.000000000000e+00  ,-7.568126229353e-01  
  1.200104236366e+00  ,0.000000000000e+00  ,-7.468987781731e-01  
  1.200193066932e+00  ,0.000000000000e+00  ,-7.271961843366e-01  
  1.200370728065e+00  ,0.000000000000e+00  ,-6.883172927704e-01  
  1.200726050331e+00  ,0.000000000000e+00  ,-6.125845233967e-01  
  1.201436694862e+00  ,0.000000000000e+00  ,-4.689324697910e-01  
  1.202857983924e+00  ,0.000000000000e+00  ,-2.102297108783e-01  
  1.205700562049e+00  ,0.000000000000e+00  ,2.105702184355e-01  
  1.211261499549e+00  ,0.000000000000e+00  ,7.630685753425e-01  
  1.217977905799e+00  ,0.000000000000e+00  ,1.123621378485e+00  
  1.228420093299e+00  ,0.000000000000e+00  ,1.368094369701e+00  
  1.240057593299e+00  ,0.000000000000e+00  ,1.450258403847e+00  
  1.258285718299e+00  ,0.000000000000e+00  ,1.478186033929e+00  
  1.281295093299e+00  ,0.000000000000e+00  ,1.479303490937e+00  
  1.321295093299e+00  ,0.000000000000e+00  ,1.478574265231e+00  
  1.361295093299e+00  ,0.000000000000e+00  ,1.478015505695e+00  
  1.401295093299e+00  ,0.000000000000e+00  ,1.477399850785e+00  
  1.441295093299e+00  ,0.000000000000e+00  ,1.476803224354e+00  
  1.481295093299e+00  ,0.000000000000e+00  ,1.476201365410e+00  
  1.500000010004e+00  ,1.999955757612e-04  ,1.476693639563e+00  
  1.500000011004e+00  ,5.017999352018e-02  ,1.476693639667e+00  
  1.500000013003e+00  ,1.501481606505e-01  ,1.476693639932e+00  
  1.500000017002e+00  ,3.500844949111e-01  ,1.476693639577e+00  
  1.500000020004e+00  ,5.000000000000e-01  ,1.476693637284e+00  
  1.500000020804e+00  ,5.000000000000e-01  ,1.476693635819e+00  
  1.500000022403e+00  ,5.000000000000e-01  ,1.476693631813e+00  
  1.500000025602e+00  ,5.000000000000e-01  ,1.476693614689e+00  
  1.500000032000e+00  ,5.000000000000e-01  ,1.476693514094e+00  
  1.500000044796e+00  ,5.000000000000e-01  ,1.476692831469e+00  
  1.500000070387e+00  ,5.000000000000e-01  ,1.476690374978e+00  
  1.500000121569e+00  ,5.000000000000e-01  ,1.476757602881e+00  
  1.500000192666e+00  ,5.000000000000e-01  ,1.477589258063e+00  
  1.500000277984e+00  ,5.000000000000e-01  ,1.481516242033e+00  
  1.500000448620e+00  ,5.000000000000e-01  ,1.508557900543e+00  
  1.500000702727e+00  ,5.000000000000e-01  ,1.609136768359e+00  
  1.500001020634e+00  ,5.000000000000e-01  ,1.817643602396e+00  
  1.500001512730e+00  ,5.000000000000e-01  ,2.241052043329e+00  
  1.500002186691e+00  ,5.000000000000e-01  ,2.807590310597e+00  
  1.500002953255e+00  ,5.000000000000e-01  ,3.343236503897e+00  
  1.500003985321e+00  ,5.000000000000e-01  ,3.845963366191e+00  
  1.500005313790e+00  ,5.000000000000e-01  ,4.186961944489e+00  
  1.500006679833e+00  ,5.000000000000e-01  ,4.346832268364e+00  
  1.500007763588e+00  ,5.000000000000e-01  ,4.412114057274e+00  
  1.500008761322e+00  ,5.000000000000e-01  ,4.443371331776e+00  
  1.500009759438e+00  ,5.000000000000e-01  ,4.456927767941e+00  
  1.500011006844e+00  ,5.000000000000e-01  ,4.465807537168e+00  
  1.500012178147e+00  ,5.000000000000e-01  ,4.469745899823e+00  
  1.500014520752e+00  ,5.000000000000e-01  ,4.472617262407e+00  
  1.500017377960e+00  ,5.000000000000e-01  ,4.472764754849e+00  
  1.500022338593e+00  ,5.000000000000e-01  ,4.471773517240e+00  
  1.500028823578e+00  ,5.000000000000e-01  ,4.470313249047e+00  
  1.500041793549e+00  ,5.000000000000e-01  ,4.467442961489e+00  
  1.500067733490e+00  ,5.000000000000e-01  ,4.461695084697e+00  
  1.500119613373e+00  ,5.000000000000e-01  ,4.450256962638e+00  
  1.500223373139e+00  ,5.000000000000e-01  ,4.427549490390e+00  
  1.500430892670e+00  ,5.000000000000e-01  ,4.382851631694e+00  
  1.500845931732e+00  ,5.000000000000e-01  ,4.296195460245e+00  
  1.501676009857e+00  ,5.000000000000e-01  ,4.133392816790e+00  
  1.503336166107e+00  ,5.000000000000e-01  ,3.845703425928e+00  
  1.506656478607e+00  ,5.000000000000e-01  ,3.394990738508e+00  
